year_month,grid_count,oilfield_count,total_signals,thesis_support,grid_sentiment,oilfield_sentiment,month_start,HAL_return,002028.SZ_return,pair_return
2025-06,5,0,20,0.0,0.0,0.0,2025-06-01,0.04905603151109772,0.012217154713018097,-0.03683887679807962
2025-07,9,35,80,0.2,0.6666666666666666,-0.2857142857142857,2025-07-01,0.09911680333574524,0.07708245078752496,-0.022034352548220282
2025-10,10,56,121,0.18181818181818182,0.7,-0.26785714285714285,2025-10-01,0.09105694218625882,0.20482489587261776,0.11376795368635895
2026-04,4,1,12,0.0,0.0,0.0,2026-04-01,0.029238249309387232,-0.033415841584158446,-0.06265409089354568
