source_name,url,company,sector,document_type,theme
IEA Electricity 2026,https://www.iea.org/reports/electricity-2026,IEA,Grid Infrastructure,Industry Report,Electricity Demand
IEA Electricity 2026 - Grids,https://www.iea.org/reports/electricity-2026/grids,IEA,Grid Infrastructure,Industry Report,Grid Resilience
Dongfang Electric Group,https://www.dongfang.com/,Dongfang Electric,Grid Infrastructure,Investor Page,Grid Resilience
Yantai Jereh Investor Relations,https://www.jereh.com/cn/investor/Investor-relations,Yantai Jereh,Oilfield Services,Investor Page,Oilfield Services
